1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Order,Overall Cond,Overall Qual,PID,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,SalePrice,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold
1656,0,0,NA,3,1Fam,Gd,Gd,1,0,TA,441,639,0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,NA,Gd,2,CBlock,1,Typ,528,2,TA,Fin,TA,Attchd,1960,1656,0,GasA,Fa,1Story,1,TA,Lvl,Gtl,31770,Corner,141,IR1,0,020,RL,112,Stone,NA,0,5,NAmes,62,1,5,6,0526301100,P,0,NA,CompShg,Hip,Normal,WD ,215000,0,Pave,7,1080,AllPub,210,1960,1960,2010
1690,1589,0,NA,4,1Fam,TA,Gd,1,0,Gd,234,1416,0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,Wd Shng,NA,Gd,1,PConc,3,Mod,841,3,TA,Fin,TA,BuiltIn,2003,3279,1,GasA,Ex,2Story,1,Ex,HLS,Mod,53504,CulDSac,47,IR2,0,060,RL,603,BrkFace,NA,0,6,StoneBr,36,16,5,8,0527216070,Y,0,NA,CompShg,Hip,Normal,WD ,538000,210,Pave,12,1650,AllPub,503,2003,2003,2010
1687,0,0,NA,3,1Fam,TA,Av,1,0,TA,60,353,334,BLQ,Rec,Y,Norm,Norm,SBrkr,50,TA,TA,Wd Sdng,Wd Sdng,NA,TA,2,CBlock,1,Min1,572,2,TA,Unf,TA,Detchd,1966,1687,0,GasA,TA,1Story,1,TA,Bnk,Sev,57200,Inside,None,IR1,0,020,RL,0,None,NA,0,6,Timber,0,315,5,5,0916125360,N,0,NA,CompShg,Gable,Normal,WD ,160000,0,Pave,7,747,AllPub,0,1948,1950,2010
1188,0,0,NA,3,1Fam,TA,No,0,0,TA,595,593,0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,Typ,312,1,TA,Unf,TA,Attchd,1962,1188,0,GasA,TA,1Story,1,TA,Lvl,Gtl,26142,CulDSac,None,IR1,0,020,RL,189,BrkFace,NA,0,4,Mitchel,39,335,7,5,0923251080,P,0,NA,CompShg,Gable,Normal,WD ,157900,0,Pave,6,1188,AllPub,261,1962,1962,2010
1686,762,0,NA,4,1Fam,Gd,No,1,0,Gd,88,1361,180,GLQ,Rec,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,711,3,TA,RFn,TA,Attchd,1994,2448,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,46589,CulDSac,52,IR2,0,060,RL,528,BrkFace,NA,0,7,NoRidge,76,505,7,8,0528390100,Y,0,NA,CompShg,Hip,Normal,WD ,402000,0,Pave,8,1629,AllPub,517,1994,2005,2009
979,871,0,NA,3,1Fam,TA,No,0,0,Gd,378,595,0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,NA,Gd,1,PConc,2,Typ,467,2,TA,Fin,TA,BuiltIn,1994,1850,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,29959,FR2,None,IR2,0,060,RL,0,None,NA,0,1,NoRidge,98,506,6,7,0528390210,Y,0,NA,CompShg,Gable,Normal,WD ,248000,0,Pave,7,973,AllPub,168,1994,1994,2009
1288,728,0,NA,4,1Fam,NA,NA,0,0,NA,0,0,0,NA,NA,Y,Feedr,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,NA,TA,1,PConc,1,Mod,576,2,TA,Unf,TA,Attchd,1900,2016,0,GasA,Ex,2Story,1,TA,Bnk,Gtl,26400,FR2,120,Reg,0,070,RL,0,None,NA,0,6,SawyerW,0,807,7,5,0906226060,P,0,NA,CompShg,Gable,Normal,WD ,131000,0,Pave,7,0,AllPub,0,1880,2007,2009
1160,966,0,NA,3,1Fam,Gd,Gd,0,1,TA,0,249,764,LwQ,ALQ,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,NA,0,PConc,2,Min2,538,2,TA,Fin,TA,Attchd,1967,2126,1,GasA,TA,2Story,1,TA,Low,Sev,28698,CulDSac,None,IR2,0,060,RL,0,None,NA,0,6,ClearCr,0,835,5,5,0906475070,Y,0,NA,Tar&Grv,Flat,Abnorml,WD ,185000,225,Pave,7,1013,AllPub,486,1967,1967,2009
2036,0,0,NA,3,1Fam,TA,Gd,2,0,Gd,80,1236,820,ALQ,Rec,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,NA,Gd,2,CBlock,2,Typ,513,2,TA,RFn,TA,Attchd,1965,2036,0,GasW,TA,1Story,1,TA,Low,Sev,215245,Inside,150,IR3,0,020,RL,0,None,NA,0,6,Timber,0,957,5,7,0916176125,Y,0,NA,CompShg,Hip,Normal,WD ,375000,0,Pave,8,2136,AllPub,0,1965,1965,2009
1474,0,0,NA,3,1Fam,TA,No,0,0,TA,1632,0,0,Unf,Unf,Y,Feedr,Norm,FuseA,144,TA,TA,BrkFace,BrkFace,NA,Gd,2,CBlock,1,Min2,495,2,TA,Unf,TA,Attchd,1952,1474,0,GasA,TA,1Story,1,TA,Bnk,Gtl,31220,FR2,None,IR1,0,020,RL,0,None,Shed,750,5,Gilbert,0,1014,2,6,0527226020,Y,0,NA,CompShg,Hip,Normal,WD ,115000,0,Pave,7,1632,NoSewr,0,1952,1952,2008
1488,0,0,NA,3,1Fam,TA,No,0,0,TA,1488,0,0,Unf,Unf,Y,Norm,Norm,SBrkr,180,TA,TA,AsbShng,AsbShng,NA,TA,1,CBlock,2,Typ,738,2,TA,RFn,TA,Attchd,1950,1488,1,GasA,Gd,1Story,1,TA,Lvl,Gtl,47280,Inside,None,IR1,0,020,RL,44,BrkFace,NA,0,7,Gilbert,0,1016,5,6,0527276040,Y,0,NA,CompShg,Hip,Family,WD ,133000,0,Pave,6,1488,AllPub,0,1950,1950,2008
2069,0,0,NA,4,1Fam,TA,Gd,1,0,Gd,160,425,0,GLQ,Unf,Y,PosA,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,Gd,1,CBlock,2,Typ,505,2,TA,RFn,TA,Attchd,1960,2069,0,GasA,Ex,1Story,1,Gd,HLS,Mod,27650,Inside,313,IR2,0,020,RL,0,None,NA,0,11,NAmes,0,1266,7,7,0535427070,Y,0,NA,Tar&Grv,Flat,Normal,WD ,242000,0,Pave,9,585,AllPub,0,1960,2007,2008
1363,0,0,NA,2,1Fam,TA,Gd,1,0,Gd,96,226,1063,LwQ,GLQ,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,1,Mod,439,2,TA,Unf,TA,Attchd,1954,1363,0,GasA,Ex,1Story,1,TA,Low,Sev,39104,CulDSac,73,IR1,0,020,RL,0,None,NA,0,4,ClearCr,0,1402,7,7,0905401045,Y,0,NA,Membran,Flat,Normal,WD ,241500,0,Pave,5,1385,AllPub,81,1954,2005,2008
1663,0,0,NA,2,1Fam,TA,Gd,1,0,Gd,248,1116,0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,Gd,2,CBlock,1,Min1,529,2,TA,Fin,TA,Attchd,1954,1663,0,GasA,Ex,1Story,1,Gd,Low,Mod,53227,CulDSac,None,IR1,0,020,RL,0,None,NA,0,3,ClearCr,137,1403,6,4,0905401060,Y,0,NA,Tar&Grv,Flat,Normal,WD ,256000,0,Pave,6,1364,AllPub,224,1954,1994,2008
1307,1051,0,NA,5,1Fam,TA,No,0,0,TA,907,0,0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,Gd,1,BrkTil,3,Typ,360,2,TA,Unf,Fa,Detchd,1908,2358,0,GasA,TA,1.5Fin,1,TA,Bnk,Gtl,45600,Inside,75,IR2,0,050,RL,0,None,NA,0,9,ClearCr,40,1407,8,6,0905425125,Y,0,NA,CompShg,Gable,Normal,WD ,240000,175,Pave,10,907,AllPub,486,1908,1997,2008
3820,0,0,NA,5,1Fam,NA,NA,None,None,NA,0,0,0,NA,NA,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,Gd,2,Slab,3,Typ,624,2,TA,Unf,TA,Attchd,1959,3820,1,GasA,TA,1Story,1,Ex,Lvl,Gtl,47007,Inside,123,IR1,0,020,RL,0,None,NA,0,7,Edwards,372,1498,7,5,0908154080,Y,0,NA,CompShg,Gable,Normal,WD ,284700,0,Pave,11,0,AllPub,0,1959,1996,2008
4692,950,0,NA,3,1Fam,TA,Gd,2,0,Ex,466,5644,0,GLQ,Unf,Y,Feedr,Norm,SBrkr,0,TA,Ex,Stucco,Stucco,NA,Gd,3,PConc,2,Typ,1418,2,TA,Fin,TA,Attchd,2008,5642,1,GasA,Ex,2Story,1,Ex,Bnk,Gtl,63887,Corner,313,IR3,0,060,RL,796,Stone,NA,0,1,Edwards,292,1499,5,10,0908154235,Y,480,Gd,ClyTile,Hip,Partial,New,160000,0,Pave,12,6110,AllPub,214,2008,2008,2008
1898,0,0,NA,3,1Fam,TA,No,0,0,TA,782,1116,0,Rec,Unf,Y,Norm,Norm,FuseA,224,TA,TA,BrkFace,MetalSd,MnPrv,TA,2,PConc,2,Typ,484,2,TA,Unf,TA,Attchd,1956,1898,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,26073,CulDSac,56,IR1,0,020,RL,0,None,NA,0,4,Crawfor,51,1541,5,5,0909428170,Y,0,NA,CompShg,Gable,Normal,WD ,236500,0,Pave,7,1898,AllPub,0,1956,1956,2008
1619,167,0,NA,3,2fmCon,TA,Gd,2,0,TA,103,1249,147,ALQ,BLQ,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,Gd,2,CBlock,2,Typ,529,2,TA,Fin,TA,Attchd,1965,1786,0,GasA,Ex,1.5Fin,1,TA,HLS,Sev,164660,Corner,None,IR1,0,190,RL,0,None,Shed,700,8,Timber,0,1571,6,5,0916125425,Y,0,NA,CompShg,Gable,Normal,WD ,228950,0,Grvl,7,1499,AllPub,670,1965,1965,2008
1150,686,0,NA,4,1Fam,TA,No,0,0,TA,686,0,0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,BrkTil,2,Maj1,288,1,Fa,Unf,TA,Detchd,1900,1836,0,GasA,Ex,2.5Unf,1,TA,Low,Gtl,56600,Inside,None,IR1,0,070,I (all),0,None,NA,0,1,IDOTRR,0,1611,1,5,1007100110,N,0,NA,CompShg,Hip,Normal,WD ,103000,0,Pave,7,686,AllPub,0,1900,1950,2008
